open_2;high_2;low_2;close_2;diff_h_l_2;diff_o_c_2;diff_h_o_2;diff_c_l_2;vol_total_2;vol_buy_2;vol_sell_2;vol_other_2;nb_tick_total_2;nb_tick_buy_2;nb_tick_sell_2;nb_tick_other_2;nb_price_changed_2;open_1;high_1;low_1;close_1;diff_h_l_1;diff_o_c_1;diff_h_o_1;diff_c_l_1;vol_total_1;vol_buy_1;vol_sell_1;vol_other_1;nb_tick_total_1;nb_tick_buy_1;nb_tick_sell_1;nb_tick_other_1;nb_price_changed_1;open_0;high_0;low_0;close_0;diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;ratio_diff_h_l_0;ratio_diff_o_c_0;ratio_diff_h_o_0;ratio_diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;ratio_vol_buy_0;ratio_vol_sell_0;ratio_vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;ratio_nb_tick_buy_0;ratio_nb_tick_sell_0;ratio_nb_tick_other_0;nb_price_changed_0;ratio_nb_price_changed_0;ratio_diff_h_l_2to0;rsi2;rsi1;rsi0;rsi2_long;rsi1_long;rsi0_long;std2;std1;std0;std2_long;std1_long;std0_long;diff_h_l_20;diff_h_l_10;is_lower
3777.0;3778.0;3773.75;3774.75;4.25;2.25;1.0;1.0;5048.0;2094.0;2360.0;610.0;3818.0;1640.0;1737.0;454.0;216.0;3774.75;3775.75;3773.0;3774.75;2.75;0.0;1.0;1.75;4323.0;1796.0;1974.0;570.0;3416.0;1426.0;1539.0;467.0;177.0;3774.75;3775.25;3770.5;3770.5;4.75;4.25;0.5;0.0;0.0012597798700437607;0.0011271714626707333;0.00013245910325187097;0.0;4941.0;1699.0;2745.0;544.0;0.3438575187209067;0.5555555555555556;0.11009917020845983;3873.0;1342.0;2094.0;468.0;0.3465014200877872;0.5406661502711076;0.12083656080557707;205.0;0.052930544797314745;0.0019891261105954116;35.92138599479087;35.92138599479087;13.563178667671068;35.92138599479087;35.92138599479087;13.563178667671068;1.1960583412006105;1.0606601717798212;2.0034692133618845;1.1960583412006105;1.0606601717798212;2.0034692133618845;7.5;5.25;1.0
3774.75;3775.75;3773.0;3774.75;2.75;0.0;1.0;1.75;4323.0;1796.0;1974.0;570.0;3416.0;1426.0;1539.0;467.0;177.0;3774.75;3775.25;3770.5;3770.5;4.75;4.25;0.5;0.0;4941.0;1699.0;2745.0;544.0;3873.0;1342.0;2094.0;468.0;205.0;3770.5;3771.5;3768.75;3770.0;2.75;0.5;1.0;1.25;0.0007296849087893864;0.0001326259946949602;0.0002652168147460549;0.0003316749585406302;8648.0;3848.0;4281.0;547.0;0.44495837187789083;0.4950277520814061;0.06325161887141535;5724.0;2529.0;2808.0;409.0;0.4418238993710692;0.49056603773584906;0.07145352900069882;362.0;0.06324248777078965;0.001857379767827529;35.92138599479087;13.563178667671068;12.220853410483612;35.92138599479087;13.563178667671068;12.220853410483612;1.0606601717798212;2.0034692133618845;2.131118642090737;1.0606601717798212;2.0034692133618845;2.131118642090737;7.0;6.5;1.0
3769.5;3771.25;3768.25;3770.25;3.0;-0.75;1.75;2.0;5118.0;2393.0;2301.0;445.0;4036.0;1876.0;1788.0;390.0;211.0;3770.25;3771.0;3768.25;3769.0;2.75;1.25;0.75;0.75;4617.0;1927.0;2224.0;475.0;3612.0;1512.0;1710.0;399.0;207.0;3769.0;3769.5;3767.25;3767.25;2.25;1.75;0.5;0.0;0.0005972526378658173;0.0004645298294511912;0.00013266118333775536;0.0;5547.0;2578.0;2543.0;453.0;0.4647557238146746;0.45844600685054987;0.08166576527852894;3957.0;1733.0;1853.0;390.0;0.43795804902704066;0.4682840535759414;0.09855951478392722;215.0;0.054334091483447054;0.0010617824673170085;30.774752703464287;19.68602051884099;11.206440897133971;30.774752703464287;19.68602051884099;11.206440897133971;0.3118047822311617;0.5137011669140814;1.2304019216861166;0.3118047822311617;0.5137011669140814;1.2304019216861166;4.0;3.75;0.0
3771.0;3772.25;3767.5;3767.75;4.75;3.25;1.25;0.25;5583.0;2434.0;2606.0;566.0;4266.0;1821.0;1971.0;493.0;203.0;3767.75;3769.0;3766.75;3766.75;2.25;1.0;1.25;0.0;4603.0;1836.0;2289.0;511.0;3328.0;1291.0;1667.0;395.0;138.0;3766.75;3768.0;3764.5;3765.0;3.5;1.75;1.25;0.5;0.0009297383450657458;0.0004648074369189907;0.00033185106524191943;0.00013281976358082084;5790.0;2272.0;3043.0;497.0;0.3924006908462867;0.5255613126079447;0.08583765112262522;4210.0;1578.0;2229.0;415.0;0.37482185273159146;0.5294536817102138;0.09857482185273159;191.0;0.04536817102137767;0.002058706335502723;31.097202563502165;24.912364776299484;16.36732608237213;31.097202563502165;24.912364776299484;16.36732608237213;1.3281147875424355;1.81429508808977;1.136515141415488;1.3281147875424355;1.81429508808977;1.136515141415488;7.75;4.5;1.0
3706.0;3708.0;3705.25;3705.75;2.75;0.25;2.0;0.5;8751.0;3923.0;4083.0;774.0;6336.0;2832.0;2891.0;635.0;355.0;3705.75;3707.25;3703.0;3705.5;4.25;0.25;1.5;2.5;12077.0;5084.0;6256.0;792.0;7583.0;3156.0;3879.0;588.0;369.0;3705.5;3707.25;3702.75;3702.75;4.5;2.75;1.75;0.0;0.0012153129430828439;0.0007426912429950712;0.0004722709485899339;0.0;8690.0;3781.0;4126.0;800.0;0.43509781357882626;0.47479861910241655;0.09205983889528194;6482.0;2798.0;3046.0;655.0;0.431656896019747;0.4699166923788954;0.10104905893242826;337.0;0.05199012650416538;0.0014178651002633178;13.890601429681707;12.6190735602636;5.0267405554375415;13.890601429681707;12.6190735602636;5.0267405554375415;1.0069204977995478;0.2041241452319315;1.3591255358583407;1.0069204977995478;0.2041241452319315;1.3591255358583407;5.25;4.5;0.0
3707.25;3707.25;3704.0;3704.0;3.25;3.25;0.0;0.0;4973.0;1913.0;2549.0;536.0;3608.0;1383.0;1828.0;419.0;188.0;3704.0;3704.75;3702.25;3702.75;2.5;1.25;0.75;0.5;4975.0;1986.0;2471.0;526.0;3526.0;1338.0;1828.0;366.0;221.0;3702.75;3703.75;3700.0;3700.75;3.75;2.0;1.0;0.75;0.0010135135135135136;0.0005404309937174898;0.0002700695429072986;0.0002027027027027027;8513.0;3201.0;4847.0;475.0;0.37601315634911314;0.5693645013508751;0.05579701632796899;5341.0;2060.0;2962.0;327.0;0.38569556262872123;0.5545777944205205;0.061224489795918366;292.0;0.054671409848343004;0.0019594594594594594;21.91112061017749;16.955099728142912;10.989467922325204;21.91112061017749;16.955099728142912;10.989467922325204;2.071633815776009;1.8966344461235072;1.3385315336840842;2.071633815776009;1.8966344461235072;1.3385315336840842;7.25;4.75;0.0
3701.0;3702.25;3700.5;3702.25;1.75;-1.25;1.25;1.75;4143.0;1717.0;2094.0;349.0;3159.0;1307.0;1584.0;284.0;160.0;3702.25;3702.25;3700.0;3700.25;2.25;2.0;0.0;0.25;4595.0;1506.0;2831.0;273.0;2942.0;1011.0;1736.0;205.0;142.0;3700.25;3701.0;3696.25;3696.5;4.75;3.75;0.75;0.25;0.0012850862360500508;0.0010144731502772894;0.00020268900749949328;6.763611768684478e-05;10881.0;4100.0;6352.0;493.0;0.37680360261005424;0.5837698740924547;0.045308335630916276;6900.0;2706.0;3905.0;327.0;0.39217391304347826;0.5659420289855073;0.04739130434782609;462.0;0.06695652173913043;0.0016232668244842746;43.68914373939805;23.52687404757792;10.23819496926329;43.68914373939805;23.52687404757792;10.23819496926329;0.5892556509887895;0.8249579113843055;2.3833916076791817;0.5892556509887895;0.8249579113843055;2.3833916076791817;6.0;6.0;1.0
3702.25;3702.25;3700.0;3700.25;2.25;2.0;0.0;0.25;4595.0;1506.0;2831.0;273.0;2942.0;1011.0;1736.0;205.0;142.0;3700.25;3701.0;3696.25;3696.5;4.75;3.75;0.75;0.25;10881.0;4100.0;6352.0;493.0;6900.0;2706.0;3905.0;327.0;462.0;3696.5;3697.0;3694.25;3694.25;2.75;2.25;0.5;0.0;0.0007444000812072816;0.0006090546118968668;0.00013526308670363857;0.0;6384.0;2724.0;3317.0;358.0;0.4266917293233083;0.5195802005012531;0.05607769423558897;4281.0;1859.0;2179.0;255.0;0.4342443354356459;0.5089932258818033;0.05956552207428171;306.0;0.07147862648913805;0.0021655275089666375;23.52687404757792;10.23819496926329;6.787692962480762;23.52687404757792;10.23819496926329;6.787692962480762;0.8249579113843055;2.3833916076791817;2.4748737341529163;0.8249579113843055;2.3833916076791817;2.4748737341529163;8.0;6.75;1.0
3700.25;3701.0;3696.25;3696.5;4.75;3.75;0.75;0.25;10881.0;4100.0;6352.0;493.0;6900.0;2706.0;3905.0;327.0;462.0;3696.5;3697.0;3694.25;3694.25;2.75;2.25;0.5;0.0;6384.0;2724.0;3317.0;358.0;4281.0;1859.0;2179.0;255.0;306.0;3694.25;3694.75;3689.25;3692.75;5.5;1.5;0.5;3.5;0.0014908179169207834;0.00040620134046442355;0.00013534546931041484;0.0009487023107677713;15015.0;6665.0;8012.0;422.0;0.4438894438894439;0.5335997335997336;0.028105228105228107;8596.0;3875.0;4481.0;286.0;0.4507910656119125;0.5212889716147046;0.0332712889716147;608.0;0.07073057235923685;0.003184929186148946;10.23819496926329;6.787692962480762;5.076723084964399;10.23819496926329;6.787692962480762;5.076723084964399;2.3833916076791817;2.4748737341529163;1.541103500742244;2.3833916076791817;2.4748737341529163;1.541103500742244;11.75;7.75;1.0
3694.5;3695.5;3693.0;3695.25;2.5;-0.75;1.0;2.25;4688.0;2223.0;2060.0;416.0;3095.0;1471.0;1349.0;285.0;133.0;3695.25;3695.5;3691.25;3691.75;4.25;3.5;0.25;0.5;4391.0;1763.0;2265.0;375.0;2889.0;1149.0;1461.0;288.0;147.0;3691.75;3691.75;3686.75;3687.0;5.0;4.75;0.0;0.25;0.001356208042313691;0.0012883102793599132;0.0;6.781040211568454e-05;9161.0;3295.0;5204.0;702.0;0.35967689116908635;0.5680602554306299;0.07662918895317106;5927.0;2158.0;3309.0;479.0;0.3640965075080142;0.5582925594735955;0.08081660199088915;339.0;0.057195883246161636;0.002373364074048959;67.66777058108393;29.125854278423475;13.48735542739928;67.66777058108393;29.125854278423475;13.48735542739928;1.1606990230986765;1.504622507105649;3.380910462516799;1.1606990230986765;1.504622507105649;3.380910462516799;8.75;8.75;1.0
