diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;nb_price_changed_0;nb_tick_buy_vol_eq_1;nb_tick_sell_vol_eq_1;nb_tick_other_vol_eq_1;nb_tick_buy_vol_2_5;nb_tick_sell_vol_2_5;nb_tick_other_vol_2_5diff_open_low_m1;nb_tick_other_vol_2_5;diff_open_low_m1
3.25;1.0;0.5;1.75;7525.0;2880.0;3369.0;1332.0;4032.0;1490.0;1882.0;693.0;420.0;892.0;1135.0;350.0;531.0;689.0;;322.0;0.25
6.75;5.0;0.5;1.25;8272.0;2950.0;4078.0;1292.0;4340.0;1379.0;2312.0;668.0;473.0;809.0;1480.0;372.0;485.0;752.0;;273.0;2.0
6.75;5.0;0.25;1.5;9447.0;3084.0;4761.0;1676.0;4960.0;1614.0;2623.0;756.0;533.0;926.0;1639.0;384.0;610.0;893.0;;312.0;2.25
5.0;1.75;0.5;2.75;8367.0;2846.0;4020.0;1522.0;4329.0;1439.0;2227.0;676.0;499.0;795.0;1405.0;294.0;576.0;743.0;;338.0;2.5
6.0;3.75;0.0;2.25;6399.0;1932.0;3334.0;1171.0;3901.0;1162.0;2105.0;659.0;463.0;717.0;1422.0;377.0;438.0;649.0;;269.0;2.5
2.5;1.75;0.0;0.75;4091.0;1325.0;1960.0;824.0;2490.0;775.0;1234.0;491.0;277.0;457.0;838.0;279.0;313.0;381.0;;208.0;0.25
5.0;3.75;0.0;1.25;7325.0;2387.0;3939.0;1072.0;3973.0;1235.0;2266.0;510.0;410.0;678.0;1472.0;265.0;523.0;736.0;;223.0;0.25
4.75;3.75;0.0;1.0;6906.0;2255.0;3741.0;949.0;3815.0;1196.0;2146.0;492.0;393.0;649.0;1374.0;259.0;518.0;711.0;;217.0;3.25
3.75;2.75;0.25;0.75;6107.0;2071.0;3465.0;636.0;3354.0;1162.0;1884.0;333.0;421.0;719.0;1167.0;204.0;408.0;649.0;;114.0;0.0
5.0;4.75;0.25;0.0;6482.0;1954.0;3610.0;966.0;3856.0;1067.0;2289.0;524.0;446.0;579.0;1527.0;291.0;471.0;736.0;;225.0;2.75
3.25;1.5;0.5;1.25;6376.0;2473.0;3058.0;908.0;3490.0;1338.0;1719.0;459.0;492.0;764.0;1108.0;248.0;540.0;574.0;;195.0;1.0
11.75;10.25;0.5;1.0;11021.0;3568.0;5807.0;1727.0;6744.0;1957.0;3804.0;1037.0;739.0;1175.0;2679.0;714.0;755.0;1085.0;;315.0;1.0
7.5;5.5;1.5;0.5;8835.0;3018.0;4361.0;1522.0;5214.0;1754.0;2614.0;891.0;612.0;1155.0;1755.0;591.0;567.0;806.0;;286.0;3.0
3.75;1.5;1.0;1.25;8562.0;3322.0;3608.0;1700.0;4881.0;1917.0;2087.0;912.0;572.0;1185.0;1224.0;492.0;690.0;821.0;;384.0;1.25
7.25;5.25;0.5;1.5;11813.0;3973.0;5972.0;1970.0;6146.0;1957.0;3198.0;1045.0;682.0;1022.0;1892.0;566.0;819.0;1168.0;;430.0;1.75
4.75;4.25;0.25;0.25;7654.0;2257.0;4157.0;1282.0;4034.0;1244.0;2146.0;670.0;430.0;713.0;1317.0;377.0;480.0;725.0;;266.0;2.5
2.75;1.25;0.5;1.0;6332.0;2466.0;2991.0;906.0;3204.0;1221.0;1528.0;471.0;310.0;673.0;890.0;246.0;482.0;561.0;;201.0;3.25
4.0;2.75;1.0;0.25;8237.0;3053.0;3898.0;1333.0;4117.0;1468.0;2088.0;585.0;447.0;814.0;1247.0;271.0;571.0;768.0;;281.0;1.25
3.25;2.75;0.5;0.0;6818.0;2319.0;3443.0;1106.0;3369.0;1041.0;1836.0;506.0;380.0;516.0;1100.0;237.0;453.0;662.0;;230.0;0.5
2.25;1.25;1.0;0.0;3220.0;1179.0;1436.0;629.0;1429.0;466.0;679.0;290.0;175.0;250.0;410.0;157.0;183.0;228.0;;111.0;0.75
7.25;5.5;0.75;1.0;10485.0;3127.0;5254.0;2166.0;5250.0;1539.0;2713.0;1027.0;563.0;786.0;1564.0;528.0;673.0;1020.0;;430.0;0.5
7.0;4.5;2.0;0.5;9490.0;2856.0;4391.0;2316.0;4728.0;1403.0;2272.0;1081.0;467.0;731.0;1354.0;537.0;588.0;797.0;;474.0;0.5
3.0;2.75;0.25;0.0;3999.0;1124.0;1621.0;1289.0;1714.0;481.0;737.0;504.0;196.0;226.0;423.0;205.0;199.0;238.0;;220.0;5.5
6.5;5.0;1.0;0.5;7618.0;2132.0;4291.0;1272.0;3590.0;936.0;2121.0;557.0;436.0;441.0;1298.0;275.0;409.0;666.0;;225.0;2.25
4.0;2.0;1.5;0.5;7813.0;2761.0;3232.0;1860.0;3283.0;1154.0;1410.0;734.0;406.0;552.0;741.0;301.0;471.0;524.0;;347.0;0.5
4.0;1.0;1.5;1.5;3810.0;1029.0;2083.0;737.0;2006.0;530.0;1187.0;309.0;207.0;307.0;755.0;130.0;201.0;395.0;;153.0;2.0
5.25;4.75;0.0;0.5;5533.0;1433.0;3118.0;1022.0;2967.0;717.0;1758.0;504.0;386.0;374.0;1116.0;282.0;314.0;589.0;;201.0;0.5
1.75;0.25;1.0;0.5;3338.0;1129.0;1464.0;790.0;1657.0;594.0;732.0;348.0;220.0;300.0;337.0;150.0;288.0;381.0;;187.0;0.25
22.0;21.25;0.0;0.75;15953.0;4841.0;6648.0;4573.0;10261.0;2953.0;4392.0;2987.0;1488.0;1661.0;2912.0;1925.0;1273.0;1428.0;;1033.0;14.0
14.75;11.75;0.75;2.25;10876.0;3582.0;4181.0;3187.0;7274.0;2340.0;2799.0;2196.0;1196.0;1555.0;1910.0;1516.0;774.0;868.0;;666.0;3.25
8.75;5.25;2.75;0.75;4323.0;1225.0;1664.0;1476.0;3410.0;953.0;1339.0;1159.0;568.0;756.0;1101.0;934.0;194.0;236.0;;218.0;5.25
6.5;3.25;1.0;2.25;4549.0;1395.0;1798.0;1403.0;3458.0;1074.0;1377.0;1051.0;560.0;847.0;1083.0;807.0;223.0;288.0;;237.0;0.75
4.5;3.25;1.0;0.25;1383.0;477.0;478.0;444.0;956.0;286.0;361.0;320.0;164.0;187.0;265.0;226.0;98.0;96.0;;94.0;0.75
3.5;0.5;3.0;0.0;972.0;286.0;330.0;357.0;647.0;197.0;204.0;247.0;102.0;135.0;125.0;171.0;60.0;75.0;;74.0;5.5
6.0;4.25;0.5;1.25;2835.0;651.0;1440.0;794.0;1604.0;415.0;874.0;335.0;305.0;262.0;611.0;201.0;150.0;251.0;;127.0;3.25
